Country_Code,Country,Number of endemic species with small occurrence regions (50x50),Number of species with an extinction threat probability greater than or equal to 80,Number of total species
ABW,Aruba,7.0,202.0,8656.0
AFG,Afghanistan,17.0,49.0,4667.0
AGO,Angola,89.0,73.0,7872.0
AIA,Anguilla,2.0,140.0,6097.0
ALB,Albania,31.0,165.0,16505.0
AND,Andorra,0.0,259.0,25302.0
ARE,United Arab Emirates,26.0,69.0,2925.0
ARG,Argentina,624.0,716.0,20209.0
ARM,Armenia,80.0,104.0,7423.0
ASM,American Samoa,15.0,46.0,1851.0
ATG,Antigua and Barbuda,4.0,157.0,6906.0
AUS,Australia,11533.0,5540.0,80856.0
AUT,Austria,221.0,806.0,40926.0
AZE,Azerbaijan,8.0,84.0,7789.0
BDI,Burundi,41.0,120.0,7300.0
BEL,Belgium,67.0,664.0,44232.0
BEN,Benin,70.0,117.0,8064.0
BES,Bonaire (Neth.),30.0,266.0,10084.0
BFA,Burkina Faso,6.0,43.0,5261.0
BGD,Bangladesh,14.0,89.0,7131.0
BGR,Bulgaria,49.0,164.0,16451.0
BHR,Bahrain,0.0,27.0,1950.0
BHS,"Bahamas, The",128.0,321.0,14798.0
BIH,Bosnia and Herzegovina,8.0,190.0,19806.0
BLM,Saint-Barth̩lemy (Fr.),1.0,138.0,5813.0
BLR,Belarus,1.0,204.0,18818.0
BLZ,Belize,106.0,269.0,18640.0
BMU,Bermuda,75.0,129.0,3715.0
BOL,Bolivia,648.0,455.0,22699.0
BRA,Brazil,5194.0,3031.0,59191.0
BRB,Barbados,13.0,72.0,4770.0
BRN,Brunei Darussalam,27.0,149.0,10079.0
BTN,Bhutan,50.0,112.0,7798.0
BWA,Botswana,42.0,78.0,8932.0
CAF,Central African Republic,15.0,31.0,5621.0
CAN,Canada,1452.0,2260.0,45433.0
CCK,Cocos (Keeling) Islands (Aus.),9.0,17.0,1412.0
CHE,Switzerland,107.0,884.0,41850.0
CHL,Chile,951.0,825.0,11566.0
CHN,China,2536.0,2084.0,48825.0
CIV,Cote d'Ivoire,58.0,84.0,7877.0
CMR,Cameroon,355.0,238.0,11183.0
COD,"Congo, Dem. Rep.",266.0,306.0,13566.0
COG,"Congo, Rep.",46.0,50.0,8101.0
COK,Cook Islands,23.0,27.0,1790.0
COL,Colombia,2436.0,2034.0,47834.0
COM,Comoros,47.0,56.0,5052.0
CPV,Cabo Verde,117.0,100.0,2499.0
CRI,Costa Rica,3621.0,2937.0,37811.0
CUB,Cuba,860.0,720.0,16331.0
CUW,Curacao,23.0,205.0,9077.0
CXR,Christmas Island,40.0,48.0,2650.0
CYM,Cayman Islands,42.0,207.0,9639.0
CYP,Cyprus,76.0,104.0,6827.0
CZE,Czechia,8.0,525.0,36133.0
DEU,Germany,300.0,1217.0,56172.0
DJI,Djibouti,5.0,22.0,2715.0
DMA,Dominica,33.0,257.0,7481.0
DNK,Denmark,90.0,775.0,44125.0
DOM,Dominican Republic,408.0,540.0,11302.0
DZA,Algeria,47.0,137.0,9943.0
ECU,Ecuador,1822.0,1445.0,32315.0
EGY,"Egypt, Arab Rep.",38.0,99.0,6415.0
ERI,Eritrea,0.0,31.0,3360.0
ESP,Spain,2150.0,2085.0,48625.0
EST,Estonia,61.0,602.0,29633.0
ETH,Ethiopia,144.0,101.0,6521.0
FIN,Finland,276.0,1001.0,37089.0
FJI,Fiji,278.0,79.0,4418.0
FRA,France,3500.0,3699.0,88726.0
FRO,Faroe Islands,18.0,77.0,3816.0
FSM,"Micronesia, Fed. Sts.",92.0,78.0,3959.0
GAB,Gabon,200.0,145.0,9364.0
GBR,United Kingdom,691.0,1067.0,44450.0
GEO,Georgia,62.0,146.0,10234.0
GGY,Guernsey,0.0,417.0,28217.0
GHA,Ghana,57.0,118.0,8483.0
GIN,Guinea,72.0,86.0,6803.0
GMB,"Gambia, The",13.0,25.0,3704.0
GNB,Guinea-Bissau,6.0,17.0,3814.0
GNQ,Equatorial Guinea,17.0,63.0,8610.0
GRC,Greece,713.0,495.0,20056.0
GRD,Grenada,6.0,138.0,7407.0
GRL,Greenland,42.0,78.0,2827.0
GTM,Guatemala,174.0,484.0,23068.0
